CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Numero_Membros;Numero_Membros_Remunerados;Valor_Maior_Remuneracao;Valor_Menor_Remuneracao;Valor_Medio_Remuneracao;Observacao
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.00;1.25;71813.04;71813.04;52184.14;Conselho de Administração: para o exercício de 2022, o valor médio apurado é a razão de R$ 65.230,18 por 1,25.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;31.83;31.83;1485065.06;1038588.13;1130563.96;Diretoria Executiva: Para o exercício de 2022, o valor médio apurado é a razão de R$ 43.997.780,67 por 38,92.PROBLEMA SISTÊMICO - O número de membros remunerados correto é 38,92, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;71813.04;71813.04;71804.87;Conselho Fiscal: para o exercício de 2022, o valor médio apurado é a razão de R$ 371.231,20 por 5,17.PROBLEMA SISTÊMICO: O número de membros remunerados correto é 5,17, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.83;4.33;52836.46;14133.21;78033.97;Em relação ao exercício social encerrado em 31 de dezembro de 2023, para os membros do Conselho Fiscal e da Diretoria Executiva, os respectivos membrosexerceram suas funções por 12 meses no Conselho de Administração, os respectivos membros exerceram suas funções por 9 meses.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;30.75;30.75;1598364.31;1256005.44;1141614.29;Para o exercício 2023, o valor médio apurado é a razão de R$ 48.518.607,45 por 42,50.Em relação ao exercício social encerrado em 31 de dezembro de 2023, para os membros do Conselho Fiscal e da Diretoria Executiva, os respectivos membrosexerceram suas funções por 12 meses no Conselho de Administração, os respectivos membros exerceram suas funções por 9 meses.PROBLEMA SISTÊMICO: O número de membros remunerados correto é 42,50, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2023-01-01;2023-12-31;Conselho Fiscal;4.00;4.00;76660.44;76660.44;78728.39;Em relação ao exercício social encerrado em 31 de dezembro de 2023, para os membros do Conselho Fiscal e da Diretoria Executiva, os respectivos membrosexerceram suas funções por 12 meses no Conselho de Administração, os respectivos membros exerceram suas funções por 9 meses.PROBLEMA SISTÊMICO: O número de membros remunerados correto é 4,08, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2024-01-01;2024-12-31;Conselho de Administração;8.00;3.33;80988.48;80988.48;74221.31;Para o exercício de 2024, o valor médio apurado é a razão de R$ 247.156,98 por 3,33.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;31.58;31.58;2018881.45;1216825.06;1518147.06;Para o exercício de 2024, o valor médio apurado é a razão de R$ 58.327.210,06 por 38,42.PROBLEMA SISTÊMICO: O número de membros remunerados correto é 38,42, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2024-01-01;2024-12-31;Conselho Fiscal;5.00;5.00;80988.48;80988.48;80965.41;Para o exercício de 2024, o valor médio apurado é a razão de R$ 418.591,16 por 5,17.PROBLEMA SISTÊMICO: O número de membros remunerados correto é 5,17, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;10.00;9.67;1140023.28;5392.60;696504.98;
