CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Total_Remuneracao;Orgao_Administracao;Numero_Membros;Total_Remuneracao_Orgao;Numero_Membros_Remunerados;Salario;Beneficios_Diretos_Indiretos;Participacoes_Comites;Outros_Valores_Fixos;Descricao_Outros_Remuneracoes_Fixas;Bonus;Participacao_Resultados;Participacao_Reunioes;Outros_Valores_Variaveis;Comissoes;Descricao_Outros_Remuneracoes_Variaveis;Pos_emprego;Cessacao_Cargo;Baseada_Acoes;Observacao
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2022-01-01;2022-12-31;44434242.05;Conselho de Administração;8.00;65230.18;1.25;65230.18;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2022-01-01;2022-12-31;44434242.05;Diretoria Estatutária;31.83;43997780.67;31.83;22877213.56;3533055.58;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;10012413.52;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;52177.45;7522920.56;PROBLEMA SISTÊMICO - a informação correta para o campo "nº de membros remunerados" é 38,92. O sistema não aceita a inclusão do número correto nos itens 8.2, 8.3 e 8.15. Para permitir a inclusão dos dados e finalizar a entrega deste Formulário, fizemos o ajuste manual e estamos incluindo esta observação.O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2022-01-01;2022-12-31;44434242.05;Conselho Fiscal;5.00;371231.20;5.00;371231.20;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2023-01-01;2023-12-31;49177706.38;Conselho de Administração;7.83;337887.10;4.33;337887.10;0.00;0.00;0.00;Não Aplicável;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual2024-CVM/SEP, de 07/03/2024.O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2023-01-01;2023-12-31;49177706.38;Diretoria Estatutária;30.75;48518607.45;30.75;23593795.26;4291854.28;0.00;0.00;Não aplicável.;0.00;0.00;0.00;8535804.47;0.00;Referem-se a parcelas da Remuneração Variável dos Administrados (RVA) pagas em espécie no ano-calendário (visão Regime de Caixa).;0.00;3502597.29;8594556.15;1) O número de membros remunerados é de 42,50. O sistema não permite a inclusão, pois não prevê a rotatividade em seus parâmetros.2) A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual2024-CVM/SEP, de 07/03/2024.O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2023-01-01;2023-12-31;49177706.38;Conselho Fiscal;4.00;321211.83;4.00;321211.83;0.00;0.00;0.00;Não aplicável;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;1) O número de membros remunerados é de 4,08. O sistema não permite a inclusão, pois não prevê a rotatividade em seus parâmetros.2) A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual2024-CVM/SEP, de 07/03/2024.O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2024-01-01;2024-12-31;58992958.20;Conselho Fiscal;5.00;418591.16;5.00;418591.16;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;Não aplicável.;0.00;0.00;0.00;1) O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.2) O número de membros remunerados correto é 5,17, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2024-01-01;2024-12-31;58992958.20;Diretoria Estatutária;31.58;58327210.06;31.58;25591347.08;5400912.15;0.00;0.00;Não aplicavel;0.00;0.00;0.00;12656966.92;0.00;Referem-se a parcelas da Remuneração Variável dos Administrados (RVA) pagas em espécie no ano-calendário (visão Regime de Caixa).O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.O número total de remunerados;0.00;589579.42;14088404.49;O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.Referem-se a parcelas da Remuneração Variável dos Administrados (RVA).O número de membros remunerados correto é 38,42, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2024-01-01;2024-12-31;58992958.20;Conselho de Administração;8.00;247156.98;3.33;247156.98;0.00;0.00;0.00;Não aplicável.;0.00;0.00;0.00;0.00;0.00;Não aplicável.;0.00;0.00;0.00;1) O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2025-01-01;2025-12-31;90731029.45;Conselho Fiscal;5.00;470800.20;5.00;470800.20;0.00;0.00;0.00;Não aplicável.;0.00;0.00;0.00;0.00;0.00;Não aplicável.;0.00;0.00;0.00;1) Trata-se de previsão para 2025.2) O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2025-01-01;2025-12-31;90731029.45;Diretoria Estatutária;33.00;89130308.77;33.00;31072831.79;15033556.04;0.00;0.00;Não aplicável.;0.00;0.00;0.00;14341306.98;0.00;Referem-se a parcelas da Remuneração Variável dos Administrados (RVA) pagas em espécie no ano-calendário.;0.00;14341306.98;14341306.98;1) Trata-se de previsão para 2025.2) O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.000/0001-91;2025-12-31;2;149403;BCO BRASIL S.A.;2025-01-01;2025-12-31;90731029.45;Conselho de Administração;8.00;1129920.48;8.00;753280.32;0.00;0.00;0.00;Não aplicável.;0.00;0.00;0.00;0.00;0.00;Não aplicável.;0.00;376640.16;0.00;1) Trata-se de previsão para 2025.2) O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.208/0001-00;2025-12-31;6;149564;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;10093770.59;Conselho Fiscal;5.00;639190.80;5.00;639190.80;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
